well	strain	sample_name	time_point	target_name	ct	ct_mean	ct_sd	quantity	quantity_mean	quantity_sd
D1	Atc	Atc_32	72	mE1A	17.98271942	17.91761017	0.146609634	7219983.5	7553053.5	732380
E1	Atc	Atc_32	72	mE1A	17.74972343	17.91761017	0.146609634	8392774	7553053.5	732380
F1	Atc	Atc_32	72	mE1A	18.02038956	17.91761017	0.146609634	7046403	7553053.5	732380
D2	Atc	Atc_33	72	mE1A	18.06243896	18.08323288	0.021198763	6857567.5	6766487.5	92627.45313
E2	Atc	Atc_33	72	mE1A	18.10481453	18.08323288	0.021198763	6672386.5	6766487.5	92627.45313
F2	Atc	Atc_33	72	mE1A	18.08244514	18.08323288	0.021198763	6769508.5	6766487.5	92627.45313
G1	Atc	Atc_34	48	mE1A	17.42280006	17.2795887	0.132725671	10366381	11398868	965307.125
G2	Atc	Atc_34	48	mE1A	17.16071701	17.2795887	0.132725671	12278836	11398868	965307.125
G3	Atc	Atc_34	48	mE1A	17.25525284	17.2795887	0.132725671	11551389	11398868	965307.125
D3	Atc	Atc_35	72	mE1A	18.00467682	18.04902458	0.0843312	7118292.5	6924026.5	371172.6875
E3	Atc	Atc_35	72	mE1A	17.99612045	18.04902458	0.0843312	7157748	6924026.5	371172.6875
F3	Atc	Atc_35	72	mE1A	18.14627647	18.04902458	0.0843312	6496039	6924026.5	371172.6875
G4	Atc	Atc_36	48	mE1A	17.41801834	17.43283463	0.139137	10398453	10327023	920714.4375
G5	Atc	Atc_36	48	mE1A	17.57878685	17.43283463	0.139137	9372674	10327023	920714.4375
G6	Atc	Atc_36	48	mE1A	17.30169868	17.43283463	0.139137	11209942	10327023	920714.4375
D4	Atc	Atc_37	72	mE1A	17.90864182	17.86878014	0.040202539	7573897.5	7773218	201929.7031
E4	Atc	Atc_37	72	mE1A	17.86945152	17.86878014	0.040202539	7768097	7773218	201929.7031
F4	Atc	Atc_37	72	mE1A	17.82824516	17.86878014	0.040202539	7977659.5	7773218	201929.7031
G7	Atc	Atc_38	48	mE1A	17.34435844	17.34542084	0.017197443	10905228	10898195	121012.9063
G8	Atc	Atc_38	48	mE1A	17.36312485	17.34542084	0.017197443	10773818	10898195	121012.9063
G9	Atc	Atc_38	48	mE1A	17.32877922	17.34542084	0.017197443	11015537	10898195	121012.9063
D5	Atc	Atc_39	72	mE1A	18.31509781	18.33475876	0.072447509	5824841.5	5755504.5	266910.5313
E5	Atc	Atc_39	72	mE1A	18.41500664	18.33475876	0.072447509	5460767.5	5755504.5	266910.5313
F5	Atc	Atc_39	72	mE1A	18.27416992	18.33475876	0.072447509	5980904	5755504.5	266910.5313
